,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
282,C:\Sunflowers\manual_tagging-master\first_last_imgs\200726_contin_R\8465_CROPED_5.jpg,"[(36, 461), (368, 457)]","[(156, 445), (152, 408), (160, 378)]",Closed,,1603729703,8465_CROPED_5.jpg,200726_contin_R
283,C:\Sunflowers\manual_tagging-master\first_last_imgs\200726_contin_R\8810_CROPED_3.jpg,"[(116, 389), (421, 378)]","[(248, 378), (262, 341), (279, 279), (303, 246), (328, 195), (339, 171)]",Open,,1603729741,8810_CROPED_3.jpg,200726_contin_R
284,C:\Sunflowers\manual_tagging-master\first_last_imgs\200726_contin_R\8810_CROPED_4.jpg,"[(66, 454), (423, 466)]","[(178, 444), (189, 385), (202, 333), (227, 272), (249, 231)]",Closed,,1603729767,8810_CROPED_4.jpg,200726_contin_R
285,C:\Sunflowers\manual_tagging-master\first_last_imgs\200726_contin_R\8810_CROPED_5.jpg,"[(31, 464), (373, 465)]","[(151, 457), (150, 419), (156, 365), (174, 309)]",Closed,,1603729782,8810_CROPED_5.jpg,200726_contin_R
286,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_L\0446_CROPED_1.jpg,"[(77, 328), (439, 318)]","[(225, 322), (226, 304), (228, 286), (230, 273)]",Open,,1605457646,0446_CROPED_1.jpg,200728_contin_L
287,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_L\0446_CROPED_2.jpg,"[(95, 497), (464, 494)]","[(301, 506), (306, 479), (307, 447)]",Hook,,1605457658,0446_CROPED_2.jpg,200728_contin_L
288,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_L\0446_CROPED_3.jpg,"[(66, 392), (388, 391)]","[(236, 382), (236, 362), (239, 344)]",Closed,,1605457670,0446_CROPED_3.jpg,200728_contin_L
289,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_L\0779_CROPED_1.jpg,"[(77, 328), (439, 319)]","[(138, 320), (130, 303), (117, 285), (104, 268), (93, 254)]",Closed,,1605457683,0779_CROPED_1.jpg,200728_contin_L
290,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_L\0779_CROPED_2.jpg,"[(96, 506), (468, 504)]","[(239, 492), (226, 465), (210, 437), (193, 417)]",Open,,1605457702,0779_CROPED_2.jpg,200728_contin_L
291,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_L\0779_CROPED_3.jpg,"[(67, 401), (389, 395)]","[(210, 386), (194, 361), (180, 347), (164, 331), (145, 310), (127, 301)]",Closed,,1605458062,0779_CROPED_3.jpg,200728_contin_L
292,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\8826_CROPED_1.jpg,"[(69, 296), (369, 300)]","[(229, 283), (230, 253), (233, 226), (232, 191), (229, 178)]",Hook,,1605458077,8826_CROPED_1.jpg,200728_contin_R
293,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\8826_CROPED_2.jpg,"[(47, 292), (326, 290)]","[(226, 286), (228, 260), (229, 221)]",,not sure about cotyledon,1605458115,8826_CROPED_2.jpg,200728_contin_R
294,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\8826_CROPED_3.jpg,"[(67, 410), (375, 413)]","[(235, 396), (236, 371), (238, 338), (238, 328)]",Hook,,1605458128,8826_CROPED_3.jpg,200728_contin_R
295,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\8826_CROPED_4.jpg,"[(43, 402), (399, 385)]","[(168, 365), (168, 338), (169, 313), (181, 291)]",Open,,1605458140,8826_CROPED_4.jpg,200728_contin_R
296,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\8826_CROPED_5.jpg,"[(6, 340), (341, 344)]","[(142, 323), (141, 291), (137, 255), (131, 220), (134, 191)]",Open,,1605458154,8826_CROPED_5.jpg,200728_contin_R
