,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
403,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_L\0355_CROPED_5.jpg,"[(305, 586), (612, 591)]","[(431, 562), (419, 501), (402, 432), (386, 400)]",Open,,1609954090,0355_CROPED_5.jpg,201101_contin_low_L
404,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\8809_CROPED_1.jpg,"[(149, 509), (454, 519)]","[(304, 493), (322, 446), (342, 389), (352, 342)]",Open,,1609954111,8809_CROPED_1.jpg,201101_contin_low_R
405,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\8809_CROPED_2.jpg,"[(219, 509), (506, 511)]","[(321, 479), (309, 408), (300, 342), (288, 246)]",Open,,1609954121,8809_CROPED_2.jpg,201101_contin_low_R
406,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\8809_CROPED_3.jpg,"[(191, 551), (513, 544)]","[(366, 536), (359, 495), (351, 446), (357, 411), (365, 393)]",Open,,1609954146,8809_CROPED_3.jpg,201101_contin_low_R
407,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\8809_CROPED_4.jpg,"[(241, 680), (607, 680)]","[(408, 646), (402, 586), (388, 532), (379, 501), (378, 464), (378, 426)]",Open,,1609954155,8809_CROPED_4.jpg,201101_contin_low_R
408,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\8809_CROPED_5.jpg,"[(271, 692), (613, 688)]","[(422, 670), (414, 615), (403, 556), (395, 523), (390, 491), (383, 457), (376, 435)]",Open,,1609954163,8809_CROPED_5.jpg,201101_contin_low_R
409,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\9148_CROPED_1.jpg,"[(149, 505), (454, 508)]","[(322, 493), (340, 449), (363, 408), (388, 373), (404, 355), (423, 329), (448, 303), (465, 281), (484, 257)]",Open,,1609954177,9148_CROPED_1.jpg,201101_contin_low_R
410,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\9148_CROPED_2.jpg,"[(224, 503), (511, 511)]","[(316, 479), (314, 431), (313, 394), (310, 357), (310, 326), (308, 301), (308, 246), (308, 224), (313, 195)]",Open,,1609954192,9148_CROPED_2.jpg,201101_contin_low_R
411,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\9148_CROPED_3.jpg,"[(192, 551), (511, 549)]","[(356, 541), (365, 497), (363, 457), (368, 437), (375, 394), (383, 375), (388, 351), (404, 314)]",Open,,1609954213,9148_CROPED_3.jpg,201101_contin_low_R
412,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\9148_CROPED_4.jpg,"[(239, 668), (604, 667)]","[(429, 661), (448, 586), (471, 514), (486, 463), (498, 432), (524, 394), (551, 345), (566, 326), (586, 307)]",Open,,1609954224,9148_CROPED_4.jpg,201101_contin_low_R
